record_type,model,suite,configuration,task,episodes,successes,failures,episode_errors,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,keyframes,median_reusable_tokens,thresholds_or_collection,gpu,slurm_job,status,validity,remarks
diagnostic,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware (original run),all four tasks,200,96,104,81,48.0,22.53,4.71,0,,,attention relevance requested; manual attention path,RTX 5090,legacy run,completed with errors,INVALID,81 episodes failed with CUDA out of memory and were counted as false; do not use this 48 percent as the task-aware result.
rerun,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware,widowx_put_eggplant_in_basket,50,50,0,0,100.0,27.00,5.80,0,100,196.5,fusion_collect_relevance=true; attention backend=sdpa; reuse thresholds retained,RTX PRO 6000,150640,completed,VALID,All 50 episodes rolled out normally with no CUDA OOM or other episode errors.
rerun,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware,widowx_stack_cube,50,34,16,0,68.0,36.18,7.54,0,138,191.0,fusion_collect_relevance=true; attention backend=sdpa; reuse thresholds retained,RTX PRO 6000,150641,completed,VALID,All 50 episodes rolled out normally; the 16 failures are task outcomes at the rollout limit rather than infrastructure errors.
aggregate,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware,all four tasks,200,164,36,0,82.0,31.60,6.685,0,,,fusion relevance collected on repaired shards; 50 episodes per task,RTX PRO 6000,150640+150641,completed,VALID,Corrected aggregate combines the repaired eggplant and stack shards with the unaffected carrot and spoon shards.
diagnostic,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate (original run),all four tasks,200,72,128,0,36.0,49.735,49.710,0.025,,,frame MAE=0.01; local patch MAE=0.03; action cosine=0.995; translation norm=0.01; max consecutive=1,RTX 5090,legacy run,completed,INVALID FOR MODERATE CLAIM,Moderate was recorded with strict thresholds; it must not be reported as the moderate preset.
existing,CronusVLA,SimplerEnv WidowX,guarded_reuse_strict,all four tasks,200,72,128,0,36.0,49.735,49.710,0.025,,,frame MAE=0.01; local patch MAE=0.03; action cosine=0.995; translation norm=0.01; max consecutive=1,RTX 5090,existing run,completed,VALID,Strict thresholds were already correct; no rerun was required.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_spoon_on_towel,50,17,33,0,34.0,51.760,51.520,0.240,,,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_carrot_on_plate,50,7,43,0,14.0,57.840,57.620,0.220,,,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_stack_cube,50,0,50,0,0.0,60.000,59.900,0.100,,,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly; all episodes reached the task limit without success.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_put_eggplant_in_basket,50,47,3,0,94.0,34.820,34.820,0.000,,,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly.
aggregate,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,all four tasks,200,71,129,0,35.5,51.105,50.965,0.140,,,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,This is the corrected moderate result and replaces the strict-threshold artifact.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_spoon_on_towel,50,17,33,0,34.0,51.580,50.440,1.140,,,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_carrot_on_plate,50,6,44,0,12.0,57.780,55.840,1.940,,,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_stack_cube,50,0,50,0,0.0,60.000,59.380,0.620,,,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly; all episodes reached the task limit without success.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_put_eggplant_in_basket,50,49,1,0,98.0,30.540,30.500,0.040,,,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly.
aggregate,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,all four tasks,200,72,128,0,36.0,49.975,49.040,0.935,,,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,This is the corrected aggressive result; it differs from strict reuse behavior in reuse counts even though aggregate success is also 36 percent.
finding,CogACT,SimplerEnv WidowX,temporal_fusion_motion_entropy,all four tasks,200,116,84,0,58.0,47.41,47.41,0,3200,108.0,task relevance unsupported,existing GPU run,existing artifact,completed,VALID BASELINE,This is one of the two effective CogACT fusion computations.
finding,CogACT,SimplerEnv WidowX,temporal_fusion_task_aware,all four tasks,200,116,84,0,58.0,47.41,47.41,0,3200,108.0,task_relevance_supported=false,existing GPU run,existing artifact,completed,VALID AS DUPLICATE ONLY,Task-aware matches motion-entropy in successes; steps; keyframes; reusable tokens; and only differs by latency noise. Footnote it as unsupported rather than a third distinct setting.
finding,CogACT,SimplerEnv Google Robot Fractal,temporal_fusion_task_aware,all five tasks,250,162,88,0,64.8,,,,3200,107.4,task_relevance_supported=false,existing GPU run,existing artifact,completed,VALID AS DUPLICATE ONLY,Every Fractal task summary also reports unsupported task relevance; the nominal task-aware setting should not be counted as an independent computation.
